Company,Website,Category,City,Alumni in the company?
Marley Spoon,https://marleyspoon.de/,Startup,Berlin,No
AskCharlie,https://www.askcharlie.de/,Startup,Berlin,No
Conichi,https://www.conichi.com,Startup,Berlin,No
Insurgo,https://app.insurgo.io/,Startup,Berlin,No
Monoqi,https://monoqi.com,Startup,Berlin,No
Devolute,http://www.devolute.org/,Agency,Berlin,No
Blacklane,https://www.blacklane.com/en,Startup,Berlin,No
Playtestcloud,https://www.playtestcloud.com/,Startup,Potsdam,No
HelloCoach,http://www.hellocoach.de/,Startup,Berlin,No
Dentolo,https://www.dentolo.de/,Startup,Berlin,No
7Mind,https://7mind.de,Startup,Berlin,No
Dynport,http://www.dynport.de/,Agency,Hamburg,No
Eventinc,https://www.eventinc.de,Startup,Hamburg,No
Taledo,https://www.taledo.com,Startup,Berlin,No
Optimus Search,http://www.optimussearch.com/,Headhunter,Berlin,No
etventure,http://www.etventure.com/,Company Builder,Berlin,No
zinsbaustein,https://www.zinsbaustein.de,Startup,Berlin,No
Clark,https://www.clark.de,Startup,Frankfurt,No
Valendo,https://www.valendo.de/,Startup,Berlin,No
hub:raum,https://www.hubraum.com/locations/berlin,Accelerator,Berlin,No
iversity,https://iversity.org/,Startup,Berlin,No
honeypot.io,http://honeypot.io/,Headhunter,Berlin,yes
HitFox,http://www.hitfoxgroup.com/,Company Builder,Berlin,No
Drooms,https://www.drooms.com/,Startup,Frankfurt,No
Albus White,https://albuswhite.com/,Startup,Berlin,No
conichiwa,https://conichiwa.com/,Agency,Berlin,No
Blinkist,https://www.blinkist.com/,Startup,Berlin,No
edespiekermann,https://www.edenspiekermann.com/,Agency,Berlin,No
ad2games,https://www.ad2games.com/,Startup,Berlin,No
sofatutor,https://www.sofatutor.com/,Startup,Berlin,No
onrooby,https://onrooby.com/,Agency,Berlin,No
Homeday,https://www.homeday.de/,Startup,Berlin,No
Homify,http://www.homify.com/,Startup,Berlin,No
fromatob,https://www.fromatob.com/,Startup,Berlin,No
GoEuro,https://www.goeuro.com/,Startup,Berlin,No
Sensorberg,https://www.sensorberg.com/,Startup,Berlin,No
Better Payment,http://www.betterpayment.de/,Startup,Berlin,No
elopay,http://elopaygroup.com/,Startup,Berlin,No
decimo,https://www.decimo.de/,Startup,Berlin,No
asana rebel,https://asanarebel.com/,Startup,Berlin,No
Zalando,https://www.zalando.de/,Corporate,Berlin,No
avarteq,https://www.avarteq.de/,Agency,Berlin,No
BCG DV,http://www.bcgdv.com/,Consulting,Berlin,yes
FinReach,http://www.finreach.de/,Startup,Berlin,No
pinuts,https://www.pinuts.de/,Agency,Berlin,No
crealytics,https://crealytics.com,Startup,Berlin,No
jovoto,https://www.jovoto.com/,Startup,Berlin,No
Funding Circle,https://www.fundingcircle.com,Startup,Berlin,No
Sopra Steria,https://www.soprasteria.com/en,Consulting,Berlin,No
Rocket Internet,https://www.rocket-internet.com/,Company Builder,Berlin,No
Movinga,https://www.movinga.com/,Startup,Berlin,yes
Fairmondo,https://www.fairmondo.de,Startup,Berlin,No
Applift,http://www.applift.com/,Startup,Berlin,No
Savedo,https://www.savedo.de/,Startup,Berlin,No
Valsight,https://www.valsight.com/en/,Startup,Berlin,No
Onefootball,https://www.onefootball.com/,Startup,Berlin,No
Kupferwerk,https://www.kupferwerk.com/,Agency,Berlin,No
Advertile Mobile,http://www.advertilemobile.com/,Startup,Berlin,No
Betreut.de,https://www.betreut.de/,Startup,Berlin,No
ZenMate,https://zenmate.com/,Startup,Berlin,No
webcrowd,http://webcrowd.net/,Headhunter,Berlin,No
Rheingau Founders,http://www.rheingau-founders.com/,Company Builder,Berlin,No
Advanon,https://www.advanon.de,Startup,Berlin,No
Liqid,https://www.liqid.de/de,Startup,Berlin,No
Bitbond,https://www.bitbond.com/,Startup,Berlin,No
test.io,https://test.io/,Startup,Berlin,No
Vehiculum,https://www.vehiculum.de/,Startup,Berlin,No
Feingold Technologies,http://www.feingoldtech.net/,Startup,Berlin,No
Remerge,https://www.remerge.io/,Startup,Berlin,No
Pixformance,https://en.pixformance.com/index.html,Startup,Berlin,No
Volders,https://www.volders.de/,Startup,Berlin,No
LiquidM,http://www.liquidm.com/,Startup,Berlin,No
Twyla,https://www.twylahelps.com/,Startup,Berlin,No
perspective,http://www.perspective.co/,Agency,Berlin,No
Dojo Madness,http://dojomadness.com/,Startup,Berlin,No
Cringle,https://cringle.net/,Startup,Berlin,No
Caspar,https://caspar-health.com/,Startup,Berlin,No
eventbaxx,https://www.eventbaxx.com/,Startup,Berlin,No
gigmit,https://www.gigmit.com/en/,Startup,Berlin,No
Soundcloud,https://soundcloud.com,Startup,Berlin,No
Skillhero,http://www.skillhero.com/,Startup,Berlin,No
Buspaket,http://www.buspaket.de/,Corporate,Berlin,No
Pace,https://www.pace.car/de,Startup,Berlin,No
XapiX,https://www.xapix.io/,Startup,Berlin,No
ViaEurope,http://www.viaeurope.nl/,Startup,Berlin,No
Slidesync,https://slidesync.com/,Startup,Berlin,No
Distribusion,http://distribusion.com/,Startup,Berlin,No
DaWanda,https://de.dawanda.com/,Corporate,Berlin,No
deluxe,https://www.bydeluxe.com/en/,Corporate,Berlin,No
Bezahlt,https://www.bezahlt.de/,Startup,Berlin,No
xbAV,https://www.xbav.de/,Corporate,Berlin,No
ucm.agency,https://ucm.agency/de/,Corporate,Berlin,No
car2go,https://www.car2go.com,Corporate,Berlin,yes
clarat,https://www.clarat.org/,Startup,Berlin,No
mobileJob,http://www.mobilejob.com/,Startup,Berlin,No
trommsdorff + dr√ºner,http://www.td-berlin.com/,Agency,Berlin,No
Jonny Fresh,https://www.jonnyfresh.com/,Startup,Berlin,No
we.conect,http://we-conect.com/,Startup,Berlin,No
SinnerSchrader,https://sinnerschrader.com/,Agency,Hamburg,No
TalentFrogs,http://www.talentfrogs.de/,Headhunter,Cologne,No
Campusjäger,https://www.campusjaeger.de/,Startup,Karlsruhe,No
MyBellance,http://www.mybellance.com/,Startup,Berlin,No
Ubilabs,https://www.ubilabs.net/,Agency,Hamburg,No
Akra,https://www.akra.de/,Agency,Hamburg,No
SI Labs,http://www.si-labs.com/,Agency,Berlin,No
betterplace,https://www.betterplace.org/de,Startup,Berlin,No
piqd,https://www.piqd.de,Startup,Munich,No
Compeon,https://www.compeon.de/,Startup,D√ºsseldorf,No
Hanse Ventures,http://hanseventures.com/en/,Company Builder,Hamburg,No
CHI,http://www.chi-deutschland.com/,Corporate,Frankfurt,No
evopark,https://www.evopark.de/,Startup,Cologne,No
Jura Online,https://jura-online.de/,Startup,Berlin,No
Medlinq,https://www.medlinq.com/,Startup,Hamburg,No
Toptranslation,https://www.toptranslation.com/,Startup,Hamburg,No
Gohiring,http://www.gohiring.com/,Startup,Berlin,No
tolingo,https://www.tolingo.com/en/,Startup,Hamburg,No
Liefery,https://www.liefery.com/#/,Startup,Berlin,No
Hello Neu,http://helloneu.de/,Agency,Munich,No
PAIRFinance,https://www.pairfinance.com/,Startup,Berlin,No
Floot,http://www.floot.de/,Agency,Hamburg,No
DeutschlandStellen24,http://www.deutschlandstellen24.de/,Startup,Berlin,No
Fash Back,https://www.fashback.de/,Startup,Hamburg,No
passion.io,https://passion.io/,Startup,Berlin,No
SpaceNet,https://www.space.net/,Agency,Munich,No
Njiuko,https://www.njiuko.com/,Agency,Hamburg,No
Paywithatweet,http://www.paywithatweet.com/,Startup,Hamburg,No
Offerista,https://www.offerista.com,Startup,Berlin,No
99chairs,https://www.99chairs.com/,Startup,Berlin,No
i22,https://www.i22.de/,Agency,Bonn,No
Xing,https://www.xing.com,Corporate,Hamburg,No
Tabit,http://tabit-gmbh.de/,Agency,Munich,No
Pro7Sat1,http://www.prosiebensat1.com/,Corporate,Munich,No
Moovel,https://www.moovel.com/de/en,Startup,Stuttgart,No
Goodpatch,http://goodpatch.com/,Agency,Berlin,No
Solarisbank,https://www.solarisbank.de/,Startup,Berlin,No
ikusei,https://www.ikusei.de/,Agency,Berlin,No
Tourlane,https://www.tourlane.de/,Startup,Berlin,No
bitspire,https://bitspire.de,Agency,Berlin,No
Volders,https://www.volders.de/,Startup,Berlin,No
Sumup,https://sumup.de/,Startup,Berlin,No
Zimpler,https://www.zimpler.com/,Startup,Berlin,No
Caissa Global,https://www.caissa-global.com/,Headhunter,Berlin,No
Keplar Agency,https://keplaragency.com/jobs,Product,Amsterdam,No
Feedback Fruits,https://angel.co/feedbackfruits/jobs/143838-rails-and-ember-web-developer,Product,Amsterdam,No
CataWiki,https://www.catawiki.nl/jobs/all#filter-location:netherlands/filter-division:development,Product,Amsterdam,No
Noxa,http://www.noxa.nl/vacatures/junior-ruby-rails-developer/,Product,Amsterdam,No
Ligo,https://www.ligo.nl/werken_bij_ligo,Product,Amsterdam,Yes
Study Tube,https://studytube.recruitee.com/,Product,Amsterdam,No
The main ingredient,https://themainingredient.co/,Product,Amsterdam,Yes
The next closet,https://thenextcloset.com,Product,Amsterdam,Yes
Tiqets,https://www.tiqets.com/nl/jobs,Product,Amsterdam,Yes
Traintool,https://www.traintool.com/nl/over-ons,Product,Amsterdam,No
Drive U Go,http://www.driveugo.com/,Product,Amsterdam,No
Undeveloped,https://undeveloped.com/nl-nl,Product,Amsterdam,No
Zilverline,https://www.zilverline.com/vacatures,Product,Amsterdam,No
Alive Shoes,https://www.aliveshoes.com/careers,Product,Amsterdam,No
Fronteers,https://fronteers.nl/vacaturebank,Product,Amsterdam,No
Springest,https://www.springest.nl/,Product,Amsterdam,Yes
Kabisa,https://www.kabisa.nl/,Product,Amsterdam,No
Ad Combi,https://www.adcombi.com/careers/#toggle-id-5,Product,Amsterdam,No
Brightin,http://www.brightin.nl/,Product,Amsterdam,No
De Monsters,https://demonsters.nl/,Product,Amsterdam,No
Optimizely,https://www.optimizely.com/,Product,Amsterdam,No
216,https://www.216.nl/,Product,Amsterdam,No
Websend,http://www.websend.nl/,Product,Amsterdam,No
I Am Pop,https://www.iampop.in/,Product,Amsterdam,No
We Transfer ,https://wetransfer.com/about,Product,Amsterdam,No
Smart Spotter,http://www.smartspotter.com/,Product,Amsterdam,No
Jaamo,http://jaamo.nl/werken-bij,Product,Amsterdam,No
Noxa,http://www.noxa.nl/,Product,Amsterdam,No
Inspire,https://www.inspire.nl/,Product,Amsterdam,No
CataWiki,https://www.catawiki.nl,Product,Amsterdam,No
Proctor Exam,https://www.proctorexam.com/,Product,Amsterdam,Yes
Creative Group,https://www.cg.nl/,Product,Amsterdam,No
GRESP,https://gresb.com/,Product,Amsterdam,No
Brickyard,https://www.brickyard.eu/nl/,Product,Amsterdam,No
Zoo Station,http://www.zoostation.nl/,Product,Amsterdam,No
Inter Quest Group,https://www.interquestgroup.com/,Product,Amsterdam,No
Switch Jobs,https://www.switchjobs.nl,Product,Amsterdam,No
Digital Source,https://www.digitalsource.io/,Product,Amsterdam,No
Steam,https://www.steam.nl/,Product,Amsterdam,No
CENZO,https://centraalnetwerkzorg.nl/,Product,Amsterdam,No
Sping,https://sping.nl,Product,Amsterdam,No
